batch,total_ms,per_embed_ms
0,1411.955,14.120
1,1623.040,16.230
2,1668.188,16.682
3,1998.327,19.983
4,1749.837,17.498
5,1589.158,15.892
6,1706.066,17.061
7,1645.579,16.456
8,1406.619,14.066
9,996.235,9.962
10,1135.556,11.356
11,1481.483,14.815
12,1701.601,17.016
13,1646.608,16.466
14,1662.852,16.629
15,1412.980,14.130
16,1609.792,16.098
17,1805.652,18.057
18,1883.865,18.839
19,1522.129,15.221
20,1722.480,17.225
21,1662.690,16.627
22,1594.159,15.942
23,1514.103,15.141
24,1610.709,16.107
25,1795.179,17.952
26,1624.072,16.241
27,1848.931,18.489
28,1435.832,14.358
29,1229.102,12.291
30,971.281,9.713
31,1148.205,11.482
32,2056.085,20.561
33,1715.275,17.153
34,1479.460,14.795
35,1447.893,14.479
36,1559.991,15.600
37,1413.773,14.138
38,1518.385,15.184
39,1996.589,19.966
40,1629.200,16.292
41,1715.597,17.156
42,1718.479,17.185
43,1487.897,14.879
44,1431.260,14.313
45,1516.919,15.169
46,2020.541,20.205
47,1617.965,16.180
48,1722.722,17.227
49,1589.404,15.894
