batch,total_ms,per_embed_ms
0,1310.346,13.103
1,1206.423,12.064
2,1131.427,11.314
3,1742.180,17.422
4,1507.494,15.075
5,1308.263,13.083
6,1635.137,16.351
7,1477.437,14.774
8,1544.883,15.449
9,1475.824,14.758
10,1786.175,17.862
11,1684.586,16.846
12,1669.684,16.697
13,1766.157,17.662
14,1586.128,15.861
15,1499.901,14.999
16,1632.124,16.321
17,1641.787,16.418
18,1642.195,16.422
19,1261.919,12.619
20,1044.344,10.443
21,1163.200,11.632
22,1260.690,12.607
23,1539.298,15.393
24,1486.413,14.864
25,2081.639,20.816
26,1200.372,12.004
27,1258.897,12.589
28,1121.158,11.212
29,1264.114,12.641
30,1545.989,15.460
31,1342.440,13.424
32,2060.672,20.607
33,1480.280,14.803
34,1702.943,17.029
35,1593.422,15.934
36,1458.476,14.585
37,1513.104,15.131
38,1529.411,15.294
39,1770.990,17.710
40,1786.333,17.863
41,1172.072,11.721
42,1034.966,10.350
43,1245.934,12.459
44,1409.568,14.096
45,1514.946,15.149
46,1900.898,19.009
47,1514.830,15.148
48,1696.123,16.961
49,1555.497,15.555
