index,ms
0,10.529
1,34.444
2,14.081
3,40.956
4,11.368
5,27.575
6,13.151
7,9.082
8,10.529
9,24.883
10,9.514
11,10.260
12,9.947
13,21.596
14,12.101
15,11.237
16,24.975
17,12.875
18,20.833
19,7.247
20,11.782
21,35.753
22,12.121
23,26.781
24,20.557
25,8.422
26,20.535
27,10.026
28,17.986
29,11.411
30,13.681
31,14.581
32,13.166
33,13.602
34,25.279
35,12.379
36,24.014
37,18.047
38,9.427
39,22.288
40,14.136
41,24.989
42,13.181
43,22.749
44,25.171
45,26.082
46,13.397
47,12.415
48,36.975
49,24.677
50,21.090
51,10.147
52,8.766
53,17.320
54,10.214
55,20.555
56,12.442
57,22.543
58,12.219
59,11.795
60,12.781
61,21.646
62,13.930
63,24.979
64,13.617
65,10.952
66,7.426
67,6.148
68,10.835
69,6.822
70,17.692
71,18.285
72,9.449
73,18.630
74,9.583
75,22.535
76,14.676
77,31.933
78,24.417
79,12.789
80,11.030
81,9.547
82,9.381
83,16.038
84,19.457
85,23.607
86,19.594
87,10.484
88,10.969
89,23.220
90,25.449
91,12.724
92,12.603
93,13.150
94,13.476
95,23.551
96,11.904
97,13.314
98,23.702
99,13.001
100,25.388
101,13.270
102,26.525
103,42.719
104,13.494
105,25.562
106,24.745
107,24.452
108,21.353
109,25.179
110,13.353
111,18.872
112,11.942
113,19.669
114,11.910
115,10.572
116,22.306
117,23.319
118,12.061
119,18.308
120,11.245
121,19.197
122,10.628
123,14.668
124,7.305
125,20.174
126,6.573
127,11.714
128,6.630
129,6.661
130,25.491
131,10.454
132,16.678
133,6.605
134,13.317
135,15.013
136,17.332
137,8.961
138,18.138
139,17.898
140,13.989
141,9.639
142,10.464
143,10.110
144,17.699
145,8.571
146,15.979
147,10.304
148,14.918
149,6.331
150,6.201
151,8.520
152,8.444
153,13.012
154,8.804
155,19.454
156,18.893
157,28.117
158,22.148
159,12.590
160,23.127
161,24.057
162,25.420
163,11.916
164,11.519
165,10.181
166,10.647
167,22.228
168,23.666
169,23.261
170,10.970
171,22.899
172,10.888
173,11.292
174,10.969
175,10.745
176,20.825
177,12.047
178,9.851
179,10.148
180,10.804
181,17.631
182,9.472
183,18.684
184,18.769
185,11.138
186,9.617
187,18.678
188,17.980
189,9.745
190,10.446
191,10.479
192,19.273
193,10.450
194,18.348
195,18.314
196,9.637
197,8.610
198,19.023
199,9.825
200,16.843
201,16.802
202,37.436
203,15.938
204,13.180
205,12.438
206,11.601
207,6.550
208,6.870
209,8.137
210,15.759
211,8.792
212,16.629
213,9.991
214,17.801
215,10.595
216,10.590
217,11.127
218,20.012
219,9.898
220,9.588
221,9.511
222,18.127
223,20.577
224,23.834
225,24.432
226,23.049
227,24.575
228,13.955
229,23.029
230,13.141
231,13.492
232,13.537
233,20.082
234,13.452
235,37.433
236,12.560
237,33.389
238,10.401
239,10.285
240,18.740
241,10.677
242,20.900
243,21.056
244,15.356
245,17.625
246,10.214
247,18.196
248,20.523
249,16.965
250,21.115
251,10.325
252,11.936
253,20.801
254,12.258
255,24.951
256,14.359
257,28.506
258,25.276
259,14.531
260,28.177
261,14.552
262,25.045
263,36.486
264,13.800
265,14.409
266,25.637
267,15.143
268,13.413
269,22.431
270,22.722
271,22.492
272,13.627
273,25.432
274,12.991
275,22.150
276,21.825
277,25.006
278,11.547
279,18.675
280,13.625
281,18.796
282,9.428
283,9.683
