batch,total_ms,per_embed_ms
0,1977.518,19.775
1,2052.381,20.524
2,2105.441,21.054
3,3343.402,33.434
4,2458.691,24.587
5,2100.520,21.005
6,2208.954,22.090
7,2062.302,20.623
8,2082.882,20.829
9,2165.858,21.659
10,3096.837,30.968
11,2501.004,25.010
12,2109.759,21.098
13,2175.365,21.754
14,2021.006,20.210
15,2096.591,20.966
16,2133.241,21.332
17,2679.119,26.791
18,3012.203,30.122
19,2158.161,21.582
20,2227.877,22.279
21,2090.637,20.906
22,2103.916,21.039
23,2113.980,21.140
24,2132.674,21.327
25,3496.441,34.964
26,2195.085,21.951
27,2262.614,22.626
28,2116.962,21.170
29,2132.365,21.324
30,2126.885,21.269
31,2102.469,21.025
32,3589.374,35.894
33,2176.429,21.764
34,2178.488,21.785
35,2090.133,20.901
36,2094.397,20.944
37,2094.676,20.947
38,2133.700,21.337
39,3499.491,34.995
40,2217.919,22.179
41,2214.547,22.145
42,2143.558,21.436
43,2056.831,20.568
44,2108.449,21.084
45,2109.967,21.100
46,3568.790,35.688
47,2241.864,22.419
48,2220.568,22.206
49,2170.810,21.708
