batch,total_ms,per_embed_ms
0,2024.140,20.241
1,2111.220,21.112
2,2164.521,21.645
3,3449.963,34.500
4,2406.842,24.068
5,2145.695,21.457
6,2253.124,22.531
7,2073.888,20.739
8,2092.953,20.930
9,2176.112,21.761
10,3336.597,33.366
11,2499.957,25.000
12,2118.787,21.188
13,2183.116,21.831
14,2028.242,20.282
15,2062.050,20.621
16,2089.353,20.894
17,2664.607,26.646
18,2982.857,29.829
19,2144.381,21.444
20,2237.558,22.376
21,2100.791,21.008
22,2112.497,21.125
23,2121.712,21.217
24,2141.619,21.416
25,3491.271,34.913
26,2137.427,21.374
27,2196.515,21.965
28,2072.269,20.723
29,2078.545,20.785
30,2107.577,21.076
31,2085.839,20.858
32,3667.083,36.671
33,2227.837,22.278
34,2234.103,22.341
35,2145.973,21.460
36,2133.447,21.334
37,2097.682,20.977
38,2138.217,21.382
39,3630.376,36.304
40,2219.352,22.194
41,2216.772,22.168
42,2146.739,21.467
43,2060.786,20.608
44,2111.537,21.115
45,2113.212,21.132
46,3573.581,35.736
47,2200.601,22.006
48,2222.744,22.227
49,2171.428,21.714
